,movie,year,timeMin,imbd,metascore,votes,us_grossMillions
0,Tenet,2020,150,7.9,69,95299,
1,Knives Out,2019,130,7.9,82,384409,165.36
2,Inception,2010,148,8.8,74,2008087,292.58
3,Joker,2019,122,8.5,59,861912,335.45
4,Avengers: Endgame,2019,181,8.4,78,759120,858.37
5,Interstellar,2014,169,8.6,74,1454187,188.02
6,Once Upon a Time... In Hollywood,2019,161,7.6,83,510390,142.5
7,The Peanut Butter Falcon,2019,97,7.6,70,53718,13.12
8,Hamilton,2020,160,8.7,90,39244,
9,The Dark Knight,2008,152,9.0,84,2246398,534.86
10,Parasite,2019,132,8.6,96,476377,53.37
11,Mulan,1998,88,7.6,71,247077,120.62
12,Jojo Rabbit,2019,108,7.9,58,257377,0.35
13,The Gentlemen,2019,113,7.9,51,181763,
14,The Prestige,2006,130,8.5,66,1158324,53.09
15,Harry Potter and the Sorcerer's Stone,2001,152,7.6,64,626294,317.58
16,The Shawshank Redemption,1994,142,9.3,80,2282545,28.34
17,The Wolf of Wall Street,2013,180,8.2,75,1143928,116.9
18,Dunkirk,2017,106,7.9,94,533800,188.37
19,Zodiac,2007,157,7.7,78,445721,33.08
20,The Godfather,1972,175,9.2,100,1575392,134.97
21,Avengers: Infinity War,2018,149,8.4,68,798960,678.82
22,1917,2019,119,8.3,78,366737,159.23
23,Deadpool 2,2018,119,7.7,66,461803,324.59
24,Ford v Ferrari,2019,152,8.1,81,255427,117.62
25,The Dark Knight Rises,2012,164,8.4,78,1483236,448.14
26,Memento,2000,113,8.4,80,1101067,25.54
27,Jurassic Park,1993,127,8.1,68,847513,402.45
28,Little Women,2019,135,7.8,91,123717,108.1
29,Captain America: Civil War,2016,147,7.8,75,645418,408.08
30,Inglourious Basterds,2009,153,8.3,69,1232064,120.54
31,Pulp Fiction,1994,154,8.9,94,1782975,107.93
32,The Goonies,1985,114,7.8,62,238024,61.5
33,The Silence of the Lambs,1991,118,8.6,85,1236440,130.74
34,Batman Begins,2005,140,8.2,70,1280445,206.85
35,Dil Bechara,2020,101,8.8,-1,102635,
36,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92,1622096,315.54
37,Casino Royale,2006,144,8.0,80,571042,167.45
38,Mad Max: Fury Road,2015,120,8.1,90,858058,154.06
39,The Matrix,1999,136,8.7,73,1634966,171.48
40,Titanic,1997,194,7.8,75,1024439,659.33
41,Room,2015,118,8.1,86,358408,14.68
42,Back to the Future,1985,116,8.5,87,1029328,210.61
43,Pride & Prejudice,2005,129,7.8,82,248673,38.41
44,Gladiator,2000,155,8.5,67,1310156,187.71
45,Blade Runner 2049,2017,164,8.0,81,442194,92.05
46,Watchmen,2009,162,7.6,56,491878,107.51
47,American Psycho,2000,101,7.6,64,474498,15.07
48,Django Unchained,2012,165,8.4,81,1320211,162.81
49,Gone Girl,2014,149,8.1,79,835069,167.77
